session_date,direction,entry_price,entry_time,stop,target,exit_price,exit_time,exit_reason,risk_pts,reward_pts,pnl_pts,pnl_usd
2025-05-30,long,21351.5,2025-05-30 13:24:00+00:00,21318.5,21353.0,21353.0,2025-05-30 13:26:00+00:00,target,33.0,1.5,1.5,30.0
2025-06-06,long,21788.75,2025-06-06 13:24:00+00:00,21732.5,21789.75,21789.75,2025-06-06 13:26:00+00:00,target,56.25,1.0,1.0,20.0
2025-06-10,long,21856.0,2025-06-10 13:42:00+00:00,21839.25,21857.5,21857.5,2025-06-10 13:44:00+00:00,target,16.75,1.5,1.5,30.0
2025-06-12,long,21832.0,2025-06-12 13:36:00+00:00,21773.25,21833.5,21833.5,2025-06-12 13:38:00+00:00,target,58.75,1.5,1.5,30.0
2025-06-13,short,21750.75,2025-06-13 14:00:00+00:00,21779.25,21691.75,21691.75,2025-06-13 14:10:00+00:00,target,28.5,59.0,59.0,1180.0
2025-06-18,long,22004.5,2025-06-18 13:24:00+00:00,21992.0,22005.0,22005.0,2025-06-18 13:26:00+00:00,target,12.5,0.5,0.5,10.0
2025-06-27,short,22704.5,2025-06-27 19:40:00+00:00,22718.25,22702.75,22702.75,2025-06-27 19:42:00+00:00,target,13.75,1.75,1.75,35.0
2025-07-03,short,22898.75,2025-07-03 12:54:00+00:00,22928.0,22885.0,22928.0,2025-07-03 13:24:00+00:00,stop,29.25,13.75,-29.25,-585.0
2025-07-04,short,22921.5,2025-07-04 13:30:00+00:00,22938.0,22910.75,22910.75,2025-07-04 13:32:00+00:00,target,16.5,10.75,10.75,215.0
2025-07-08,short,22931.0,2025-07-08 14:36:00+00:00,22954.25,22930.5,22930.5,2025-07-08 14:40:00+00:00,target,23.25,0.5,0.5,10.0
2025-07-09,short,22944.5,2025-07-09 13:04:00+00:00,22954.5,22941.5,22954.5,2025-07-09 13:10:00+00:00,stop,10.0,3.0,-10.0,-200.0
2025-07-10,long,23040.0,2025-07-10 18:20:00+00:00,23021.75,23060.5,23021.75,2025-07-10 19:48:00+00:00,stop,18.25,20.5,-18.25,-365.0
2025-07-11,long,22906.75,2025-07-11 13:36:00+00:00,22893.5,22908.0,22893.5,2025-07-11 13:38:00+00:00,stop,13.25,1.25,-13.25,-265.0
2025-07-14,long,22904.0,2025-07-14 13:42:00+00:00,22887.75,22905.75,22887.75,2025-07-14 13:44:00+00:00,stop,16.25,1.75,-16.25,-325.0
2025-07-16,long,23074.5,2025-07-16 19:58:00+00:00,23047.25,23077.0,23066.75,2025-07-16 20:00:00+00:00,eod,27.25,2.5,-7.75,-155.0
2025-07-17,long,23147.5,2025-07-17 13:08:00+00:00,23119.0,23149.25,23119.0,2025-07-17 13:18:00+00:00,stop,28.5,1.75,-28.5,-570.0
2025-07-18,long,23238.0,2025-07-18 16:02:00+00:00,23220.0,23272.0,23220.0,2025-07-18 16:14:00+00:00,stop,18.0,34.0,-18.0,-360.0
2025-07-24,long,23357.5,2025-07-24 13:30:00+00:00,23355.0,23384.75,23355.0,2025-07-24 13:32:00+00:00,stop,2.5,27.25,-2.5,-50.0
2025-07-31,long,23571.0,2025-07-31 16:46:00+00:00,23569.5,23732.5,23569.5,2025-07-31 16:48:00+00:00,stop,1.5,161.5,-1.5,-30.0
2025-08-05,long,23363.0,2025-08-05 13:50:00+00:00,23303.5,23364.0,23364.0,2025-08-05 13:52:00+00:00,target,59.5,1.0,1.0,20.0
2025-08-06,long,23239.5,2025-08-06 14:12:00+00:00,23176.75,23251.5,23176.75,2025-08-06 14:22:00+00:00,stop,62.75,12.0,-62.75,-1255.0
2025-08-08,long,23540.0,2025-08-08 13:34:00+00:00,23534.25,23541.0,23541.0,2025-08-08 13:36:00+00:00,target,5.75,1.0,1.0,20.0
2025-08-25,long,23495.25,2025-08-25 19:58:00+00:00,23447.25,23501.0,23501.0,2025-08-25 20:00:00+00:00,target,48.0,5.75,5.75,115.0
2025-08-26,short,23495.0,2025-08-26 13:52:00+00:00,23514.75,23485.75,23485.75,2025-08-26 13:56:00+00:00,target,19.75,9.25,9.25,185.0
2025-09-03,short,23444.25,2025-09-03 14:04:00+00:00,23445.5,23416.0,23445.5,2025-09-03 14:06:00+00:00,stop,1.25,28.25,-1.25,-25.0
2025-09-04,short,23458.25,2025-09-04 14:12:00+00:00,23473.5,23457.5,23457.5,2025-09-04 14:14:00+00:00,target,15.25,0.75,0.75,15.0
2025-09-08,short,23787.5,2025-09-08 17:54:00+00:00,23793.5,23771.75,23793.5,2025-09-08 18:10:00+00:00,stop,6.0,15.75,-6.0,-120.0
2025-09-17,long,24506.5,2025-09-17 19:30:00+00:00,24494.5,24520.0,24520.0,2025-09-17 19:32:00+00:00,target,12.0,13.5,13.5,270.0
2025-10-09,long,25220.5,2025-10-09 15:30:00+00:00,25215.0,25297.5,25215.0,2025-10-09 15:34:00+00:00,stop,5.5,77.0,-5.5,-110.0
2025-10-10,long,25319.25,2025-10-10 14:00:00+00:00,25314.75,25324.0,25324.0,2025-10-10 14:02:00+00:00,target,4.5,4.75,4.75,95.0
2025-10-15,short,25012.0,2025-10-15 13:18:00+00:00,25021.5,25001.75,25001.75,2025-10-15 13:22:00+00:00,target,9.5,10.25,10.25,205.0
2025-11-03,long,26176.0,2025-11-03 14:38:00+00:00,26168.5,26178.25,26178.25,2025-11-03 14:40:00+00:00,target,7.5,2.25,2.25,45.0
2025-11-10,short,25533.25,2025-11-10 16:12:00+00:00,25557.75,25529.5,25529.5,2025-11-10 16:14:00+00:00,target,24.5,3.75,3.75,75.0
2025-11-14,short,25122.75,2025-11-14 16:10:00+00:00,25168.5,24882.0,25168.5,2025-11-14 16:18:00+00:00,stop,45.75,240.75,-45.75,-915.0
2025-11-17,short,25041.5,2025-11-17 14:32:00+00:00,25086.25,25033.5,25086.25,2025-11-17 14:34:00+00:00,stop,44.75,8.0,-44.75,-895.0
